trial_number,k_days,rsi_ob,rsi_os,t_vol,pat_thresh,tp,sl,rsi_w,long_thresh,short_thresh,sharpe_ratio
53,16,82,33,1.7793968449113264,0.639287450353927,0.02010779330688734,0.025190611862304313,0.3069408417312243,0.6573330311070856,0.4040486316422761,0.23985524042658854
54,13,82,31,1.6419509827769703,0.6292474841567068,0.026407433476284166,0.027068273773390324,0.3457162731745812,0.699547134152519,0.3936442434870369,0.18509890957417074
55,13,83,31,1.7558140855501745,0.6436231301833115,0.03670275070880656,0.025220820375253767,0.39073262531626074,0.6310603149406034,0.402741491030269,0.13831361267187994
56,11,82,33,1.5989775476042698,0.6904373141930717,0.04763655958599479,0.03371414504211158,0.22440530846267054,0.5970117639032191,0.38040402575680277,-0.003322730258526267
57,14,85,31,1.9007099440515272,0.6336907239251277,0.02790569333357858,0.027656162125837852,0.31500008092018206,0.6588089773468727,0.40931104358939724,0.19373754671883492
58,14,84,32,1.8960324747304296,0.6462763159749482,0.03576207208561684,0.023927050043999566,0.3084412265785006,0.654221714011299,0.4106875840787806,0.09819481869402878
59,15,84,30,1.7667316874374126,0.5925137163681539,0.09160603864118992,0.030662200014149172,0.4640374261849417,0.6840277807317083,0.33205718761204467,0.015124184953649937
60,22,85,33,2.0172176004378297,0.663935192133832,0.04100545626746062,0.021857733021697703,0.24549035706258834,0.579802772723939,0.37016678825767413,0.012782046378128574
61,11,82,31,1.644094828448581,0.6348427503977608,0.0268037759982913,0.027813340304129273,0.37026297161979344,0.6599452137595967,0.38307449038777874,0.1706995482281884
62,12,78,30,1.7679296460346192,0.6891319913495336,0.027767217506142194,0.026611675689452004,0.32655246193949716,0.6377756838426885,0.42414536848298245,0.20611138425380007
63,12,78,30,1.7658884539605642,0.6869366841895649,0.03383350377314701,0.03511673103992741,0.41091739973691366,0.6334972621323142,0.41971116181588186,0.10685408566272678
64,14,77,32,1.9052106736657712,0.7048264593040899,0.02721406408100262,0.01741942375832799,0.31826196288130165,0.5968531013660467,0.4570777621182237,0.16122019071304666
65,16,78,33,2.080781788918567,0.6617252849046994,0.026161830368590933,0.012350552656384076,0.28558157967461095,0.6801380408523741,0.42655704959929386,0.12573075926767052
66,9,79,34,1.8564067140822949,0.5132133415159946,0.04664481779988709,0.0290495067330055,0.45934552887142055,0.6434541178583548,0.31736538847060636,0.08767358206356779
67,11,77,32,1.974985474818005,0.7104839459419391,0.04172570426336369,0.02107197186889681,0.5241654541039258,0.6199333195958777,0.40350928727342494,0.09554199259151029
68,14,80,30,1.424506248894406,0.46273615189873446,0.03401304936184142,0.031905110425099054,0.30028354395596624,0.6817154538174073,0.4707164486296802,0.04660070897391544
69,12,75,34,1.7663756293715016,0.6748593074524563,0.10610095817837593,0.02521147830897625,0.2094407715548131,0.6591437743870793,0.3458493657258714,0.02286641984145362
70,9,85,33,1.6959532565097375,0.6021011091227432,0.06318747158349464,0.018604286523345476,0.40321986420640743,0.6313991944333135,0.37017006731736424,0.06133988701959296
71,13,82,29,1.6151967101820417,0.6279806993718114,0.0283264718584434,0.026908653086414797,0.33338184581071584,0.692868349567046,0.38995164433241986,0.1413931864985849
72,13,84,31,1.5612671384460017,0.6465602056108676,0.024146569077010148,0.023806442733064998,0.3472241721829748,0.669437802559833,0.3933414832191349,0.16449117495581866
73,11,81,31,1.8267569276856281,0.634831518467235,0.028869255065834154,0.030413991017257655,0.3688593158366783,0.6873092660514977,0.41314438362996414,0.13099617745154668
74,15,83,35,1.6767030775796892,0.613120663477392,0.02374264724709763,0.02687029230751115,0.24507324494759913,0.6529725170824572,0.3645272380788587,0.10920301014092806
75,12,77,28,1.940837053085485,0.587652963749026,0.033338157961802006,0.040589133034029945,0.44011501691062493,0.6976667562867389,0.40148585337446724,0.12072956863021311
76,16,80,34,1.4206882004782686,0.5380319164443305,0.02002929028062641,0.04799089239498359,0.259978250723259,0.6749874574827807,0.3405090027443035,0.09949735358145118
77,10,82,32,1.7392480422562755,0.6634937527439092,0.028583708941782356,0.03485225645659927,0.3312790953170384,0.607127304382833,0.3203164751036569,0.1336598549729361
78,13,79,35,1.8805899067442169,0.5584537695583232,0.039638596102897494,0.01212198529746377,0.28963127466469973,0.6678300964620908,0.4267318591714514,0.08414646060816715
